Id,Name,HasLegacyCP
1810360DUS,South Harrison Com Schools,1
1810500DUS,South Putnam Community Schools,
1810590DUS,South Vermillion Com Sch Corp,1
1810650DUS,Hamilton Southeastern Schools,
1810710DUS,Southern Hancock Co Com Sch Corp,
1810860DUS,Southwest School Corp,
1811250DUS,Taylor Community School Corp,1
1811430DUS,Tri-County School Corp,
1811580DUS,Twin Lakes School Corp,
1811970DUS,Valparaiso Community Schools,1
1812150DUS,Wabash City Schools,1
1812180DUS,MSD Wabash County Schools,1
1812240DUS,Wa-nee Community Schools,1
1812360DUS,MSD Warren Township,1
1812810DUS,MSD Wayne Township,1
1812900DUS,West Noble School Corporation,1
1813050DUS,Western Wayne Schools,1
1813080DUS,Westfield Washington Schools,1
1813110DUS,Westview School Corporation,1
1903540DUS,Ames Comm School District,
1903690DUS,Ankeny Community Schools District,1
1904200DUS,Ballard Comm School District,
1905790DUS,Burlington Comm School District,1
1906270DUS,Carlisle Comm School District,
1907860DUS,College Comm School District,1
1908220DUS,Council Bluffs Comm School District,1
1908520DUS,Dallas Center-Grimes Comm School District,1
1908970DUS,Des Moines Public Schools,1
1911820DUS,Fort Dodge Comm School District,1
1915450DUS,Johnston Comm School District,1
1926400DUS,Sioux City Community Schools,1
1928680DUS,Urbandale Comm School District,1
1930930DUS,West Des Moines Comm School District,1
2003200DUS,Auburn Washburn,1
2007950DUS,Kansas City Kansas Public Schools,
2009180DUS,Manhattan-Ogden USD 383,1
2009390DUS,McPherson USD 418,1
2009960DUS,Newton Public Schools,
2012000DUS,Blue Valley School District,1
2100070DUS,Allen County Schools,
2100081DUS,Muhlenberg County,
2100150DUS,Ashland Ind,
2100480DUS,Berea Ind,
2100540DUS,Bourbon Co,
2100630DUS,Boyle Co,
2100750DUS,Bullitt Co,
2102040DUS,Fort Thomas Independent,1
2103480DUS,Lincoln County,
2103540DUS,Logan County,
2103630DUS,Ludlow Independent,
2104530DUS,Oldham County,
2104830DUS,Pikeville Independent,
2105070DUS,Rockcastle County,
2105260DUS,Scott County,
2105700DUS,Walton Verona Independent,
2201440DUS,Saint Charles Parish School Board,
2302610DUS,Auburn School Department,
2303290DUS,Boothbay-boothbay Hbr Csd,
2303810DUS,Regional School Unit 25,
2306060DUS,Gorham School Department,
2307140DUS,Kittery School Department,
2307570DUS,RSU 04,
2309930DUS,Portland Public Schools (ME),
2310500DUS,Sanford School Department,
2310680DUS,Msad 14         Danforth,
2313560DUS,Westbrook School Department,1
2314670DUS,Regional School Unit 57,1
2400030DUS,Allegany County Public Schools,
2400060DUS,Anne Arundel County Public Schools,
2400090DUS,Baltimore City Public Schools,1
2400120DUS,Baltimore County Public Schools,
2400180DUS,Caroline County Public Schools,
2400210DUS,Carroll County Public Schools,
2400240DUS,Cecil County Public Schools,
2400300DUS,Dorchester County Public Schools,1
2400330DUS,Frederick County Public Schools,1
2400390DUS,Harford County Public Schools,
2400420DUS,Howard County Public Schools,1
2400450DUS,Kent County Public Schools,
2400480DUS,Montgomery County Public Schools,1
2400510DUS,Prince George's County Public Schools,1
2400540DUS,Queen Anne's County Public Schools,1
2400570DUS,Somerset County Public Schools,
2400600DUS,St. Mary's County Public Schools,
2400630DUS,Talbot County Public Schools,
2400690DUS,Wicomico County Public Schools,
2400720DUS,Worcester County Public Schools,1
2500001DUS,Quabbin,
2500002DUS,Spencer-e Brookfield,1
2500026DUS,City on a Hill Charter Public Schools,
2502100DUS,Ashland,
2502190DUS,Attleboro,
2502280DUS,Ayer Shirley Regional School District,
2502640DUS,Beverly,
2502670DUS,Billerica,
2502790DUS,Boston Public Schools,
2503240DUS,Burlington Public Schools,
2503390DUS,Central Berkshire,
2503540DUS,Chelsea,
2503990DUS,Danvers,
2504230DUS,Douglas,
2504290DUS,Dover-sherborn,
2504320DUS,Dracut Public Schools,1
2504620DUS,Easton,
2504830DUS,Fall River,
2505670DUS,Hamilton-wenham,
2505790DUS,Hanover,
2505970DUS,Haverhill,
2506240DUS,Holliston,
2506780DUS,Leominster,
2507110DUS,Lynn Public Schools,
2507320DUS,Marlborough,
2507440DUS,Mashpee,
2507560DUS,Medford,
2507680DUS,Mendon-upton,
2507860DUS,Milford,
2508940DUS,Northbridge,
2509000DUS,Norton,
2509150DUS,Old Rochester,
2509420DUS,Pembroke Public Schools,
2509450DUS,Pentucket,1
2509720DUS,Plymouth Public Schools,
2510050DUS,Revere,
2510500DUS,Saugus,
2510615DUS,Shawsheen Valley Voc Tech ( District),
2510620DUS,Sharon,
2510890DUS,Somerville,
2510920DUS,South Hadley,
2511010DUS,Southbridge,
2511040DUS,Southern Berkshire,
2511130DUS,Springfield Public Schools,
2511250DUS,Stoughton,
2511460DUS,Swansea,
2511580DUS,Tewksbury,
2511760DUS,Tyngsborough,
2512060DUS,Wareham,1
2512630DUS,Westfield,
2512660DUS,Westford,
2513080DUS,Winchendon,
2513200DUS,Woburn,
2513230DUS,Worcester Public Schools,1
2600114DUS,Black River Public School - District,1
2602550DUS,Allendale Public School District,1
2602820DUS,Ann Arbor Public Schools,
2605010DUS,Berkley School District,
2605850DUS,Birmingham City School District,1
2607620DUS,Caledonia Community Schools,
2608940DUS,Chelsea School District,
2610830DUS,Coopersville Public School District,1
2612030DUS,Dexter Community School District,
2614610DUS,Forest Hills Public Schools,
2616110DUS,Godwin Heights Public Schools,
2616380DUS,Grand Haven Area Public Schools,1
2616440DUS,Grand Rapids Public Schools,
2617400DUS,Hamilton Community Schools,1
2617970DUS,Hastings Area School District,1
2618420DUS,Holland City School District,1
2618840DUS,Hudsonville Public School District,1
2618930DUS,Huron School District,1
2619830DUS,Jenison Public Schools,1
2621570DUS,Lincoln Consolidated School District,
2624150DUS,Monroe Public Schools,1
2625140DUS,New Buffalo Area Schools,
2625740DUS,Grosse Pointe Public Schools,
2625950DUS,Northview Public School District,
2627240DUS,Oxford Community Schools,1
2630030DUS,Rockford Public Schools,
2630660DUS,Saline Area Schools,
2630960DUS,Saugatuck Public Schools,1
2632280DUS,South Redford School District,
2632550DUS,Spring Lake Public Schools,1
2634470DUS,Utica Community Schools,1
2635910DUS,West Ottawa Public School District,1
2636330DUS,Whitmore Lake Public Schools,
2636630DUS,Ypsilanti Community Schools,
2636660DUS,Zeeland Public Schools,1
2680900DUS,Ottawa Area Isd,1
2703150DUS,Annandale Public School District,1
